Rank,Player,Team,Bye,POS,Yahoo,CBS,FFC,NFL,Fantrax,DW,AVG
117,Houston Texans,DST,7,DST4,,110,115,80,,108,103.3
118,Corey Coleman,CLE,9,WR44,,127,125,152,83,131,123.6
119,Thomas Rawls,SEA,6,RB43,,122,90,175,118,122,125.4
120,Tyrell Williams,LAC,9,WR45,,129,103,181,104,114,126.2
121,C.J. Prosise,SEA,6,RB44,,125,128,139,126,115,126.6
122,Arizona Cardinals,DST,8,DST5,,96,138,90,,109,108.3
123,Kenny Britt,CLE,9,WR46,,124,126,127,124,134,127.0
124,Minnesota Vikings,DST,9,DST6,,114,132,76,,113,108.8
125,John Brown,ARI,8,WR47,,140,108,133,128,127,127.2
126,Matt Bryant,ATL,5,K3,,119,175,78,141,125,127.6
127,James White,NE,9,RB45,,112,143,131,136,118,128.0
128,Darren McFadden,DAL,6,RB46,,108,94,187,133,124,129.2
129,Eric Ebron,DET,7,TE12,,115,142,119,129,142,129.4
130,Duke Johnson,CLE,9,RB47,,137,133,153,112,120,131.0
131,O.J. Howard,TB,11,TE13,,131,127,147,115,135,131.0
132,New England Patriots,DST,9,DST7,,133,130,77,,116,114.0
133,Jack Doyle,IND,11,TE14,,152,139,98,122,148,131.8
134,Jamaal Charles,DEN,5,RB48,,144,109,150,131,141,135.0
135,Jacquizz Rodgers,TB,11,RB49,,135,98,222,113,128,139.2
136,Jeremy Hill,CIN,6,RB50,,142,114,140,144,140,136.0
137,Eli Manning,NYG,8,QB16,,128,131,146,123,153,136.2
138,Adam Thielen,MIN,9,WR48,,155,129,137,116,147,136.8
139,Tyrod Taylor,BUF,6,QB17,,141,141,132,120,151,137.0
140,Jordan Matthews,BUF,6,WR49,,116,121,179,140,137,138.6
141,Mike Wallace,BAL,10,WR50,,126,135,148,143,143,139.0
142,Dan Bailey,DAL,6,K4,,170,172,82,150,126,140.0
143,Marvin Jones,DET,7,WR51,,156,119,144,134,152,141.0
144,Jamaal Williams,GB,8,RB51,,136,110,176,146,144,142.4
145,Carson Wentz,PHI,10,QB18,,146,145,156,114,173,146.8
146,Andy Dalton,CIN,6,QB19,,132,136,165,147,160,148.0
147,New York Giants,DST,8,DST8,,168,147,99,,139,138.3
148,Jason Witten,DAL,6,TE15,,143,158,128,167,158,150.8
149,Sterling Shepard,NYG,8,WR52,,154,150,173,119,164,152.0
150,Carolina Panthers,DST,11,DST9,,163,157,112,,133,141.3
151,John Ross,CIN,6,WR53,,165,146,157,132,167,153.4
152,Ted Ginn,NO,5,WR54,,145,140,182,162,159,157.6
153,Mason Crosby,GB,8,K5,,153,188,130,189,129,157.8
154,Carson Palmer,ARI,8,QB20,,139,154,177,135,184,157.8
155,Darren Sproles,PHI,10,RB52,,150,199,129,174,145,159.4
156,Joe Williams,SF,11,RB53,,194,149,163,148,157,162.2
157,Zay Jones,BUF,6,WR55,,174,144,211,130,171,166.0
158,Graham Gano,CAR,11,K6,,176,223,118,176,155,169.6
159,Coby Fleener,NO,5,TE16,,167,170,167,157,169,166.0
